ref,state,constituency,won status,votes,(votes),Name,Party Name
1,Meghalaya,Tura(2),won,383919,(+ 155241),SALENG A SANGMA,Indian National Congress
2,Meghalaya,Tura(2),lost,228678,( -155241),AGATHA K SANGMA,National People's Party
3,Meghalaya,Tura(2),lost,48709,( -335210),ZENITH M SANGMA,All India Trinamool Congress
4,Meghalaya,Tura(2),lost,6910,( -377009),LABENN CH MARAK,Independent
5,Meghalaya,Tura(2),,5840,( -378079),NOTA,None of the Above
6,Manipur,Outer Manipur(2),won,384954,(+ 85418),ALFRED KANNGAM S ARTHUR,Indian National Congress
7,Manipur,Outer Manipur(2),lost,299536,( -85418),KACHUI TIMOTHY ZIMIK,Naga Peoples Front
8,Manipur,Outer Manipur(2),lost,89910,( -295044),S KHO JOHN,Independent
9,Manipur,Outer Manipur(2),lost,15110,( -369844),ALYSON ABONMAI,Independent
10,Manipur,Outer Manipur(2),,7225,( -377729),NOTA,None of the Above
11,Maharashtra,Sangli(44),won,571666,(+ 100053),VISHAL (DADA) PRAKASHBAPU PATIL,Independent
12,Maharashtra,Sangli(44),lost,471613,( -100053),SANJAY (KAKA) PATIL,Bharatiya Janata Party
13,Maharashtra,Sangli(44),lost,60860,( -510806),CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey)
14,Maharashtra,Sangli(44),lost,9282,( -562384),ALLAUDDIN HAYATCHAND KAZI,Independent
15,Maharashtra,Sangli(44),lost,8251,( -563415),PRAKASH SHIVAJIRAO SHENDGE,Independent
16,Maharashtra,Sangli(44),lost,5565,( -566101),PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party
17,Maharashtra,Sangli(44),lost,5560,( -566106),TIPUSULATAN SIKANDAR PATAVEGAR,Bahujan Samaj Party
18,Maharashtra,Sangli(44),lost,5521,( -566145),MAHESH YASHWANT KHARADE,Swabhimani Paksha
19,Maharashtra,Sangli(44),lost,3658,( -568008),RAVINDRA CHANDAR SOLANKAR,Independent
20,Maharashtra,Sangli(44),lost,3540,( -568126),ANAND SHANKAR NALAGE,Baliraja Party
21,Maharashtra,Sangli(44),lost,3155,( -568511),SHASHIKANT GAUTAM DESHMUKH,Independent
22,Maharashtra,Sangli(44),lost,2859,( -568807),SATISH LALITA KRISHNA KADAM,Hindustan Janta Party
23,Maharashtra,Sangli(44),lost,1937,( -569729),SUWARNATAI SUDHAKAR GAYAKWAD,Independent
24,Maharashtra,Sangli(44),lost,1469,( -570197),DATTATRAY PANDIT PATIL,Independent
25,Maharashtra,Sangli(44),lost,1460,( -570206),TOUHID ILAHI MOMIN,Independent
26,Maharashtra,Sangli(44),lost,1398,( -570268),AJIT DHANAJI KHANDARE,Independent
27,Maharashtra,Sangli(44),lost,1300,( -570366),BANDAGAR NANASO BALASO,Independent
28,Maharashtra,Sangli(44),lost,1260,( -570406),JALINDAR MACHINDRA THOMAKE,Independent
29,Maharashtra,Sangli(44),lost,1011,( -570655),SANGRAM RAJARAM MORE,Independent
30,Maharashtra,Sangli(44),lost,814,( -570852),DR AKASH VHATKAR,Independent
31,Maharashtra,Sangli(44),,6565,( -565101),NOTA,None of the Above
32,Madhya Pradesh,BETUL(29),won,848236,(+ 379761),DURGADAS (D. D.) UIKEY,Bharatiya Janata Party
33,Madhya Pradesh,BETUL(29),lost,468475,( -379761),RAMU TEKAM,Indian National Congress
34,Madhya Pradesh,BETUL(29),lost,26597,( -821639),ARJUN ASHOK BHALAVI,Bahujan Samaj Party
35,Madhya Pradesh,BETUL(29),lost,10576,( -837660),ANIL UIKEY,Bharat Adivasi Party
36,Madhya Pradesh,BETUL(29),lost,7811,( -840425),BHURELAL CHOTELAL BETHEKAR,Independent
37,Madhya Pradesh,BETUL(29),lost,5968,( -842268),BHAGCHARAN WARKADE,Independent
38,Madhya Pradesh,BETUL(29),lost,4186,( -844050),SUNER UIKEY,Gondvana Gantantra Party
39,Madhya Pradesh,BETUL(29),lost,3849,( -844387),BARSKAR SUBHASH KORAKU,Swatantra Kisan Party
40,Madhya Pradesh,BETUL(29),,20322,( -827914),NOTA,None of the Above
41,Lakshadweep,Lakshadweep(1),won,25726,(+ 2647),MUHAMMED HAMDULLAH SAYEED,Indian National Congress
42,Lakshadweep,Lakshadweep(1),lost,23079,( -2647),MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar
43,Lakshadweep,Lakshadweep(1),lost,201,( -25525),YOUSUF TP,Nationalist Congress Party
44,Lakshadweep,Lakshadweep(1),lost,61,( -25665),KOYA,Independent
45,Lakshadweep,Lakshadweep(1),,133,( -25593),NOTA,None of the Above
46,Ladakh,Ladakh(1),won,65259,(+ 27862),MOHMAD HANEEFA,Independent
47,Ladakh,Ladakh(1),lost,37397,( -27862),TSERING NAMGYAL,Indian National Congress
48,Ladakh,Ladakh(1),lost,31956,( -33303),TASHI GYALSON,Bharatiya Janata Party
49,Ladakh,Ladakh(1),,912,( -64347),NOTA,None of the Above
50,Kerala,Kollam(18),won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
51,Kerala,Kollam(18),lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
52,Kerala,Kollam(18),lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
53,Kerala,Kollam(18),lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
54,Kerala,Kollam(18),lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
55,Kerala,Kollam(18),lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
56,Kerala,Kollam(18),lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
57,Kerala,Kollam(18),lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
58,Kerala,Kollam(18),lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
59,Kerala,Kollam(18),lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
60,Kerala,Kollam(18),lost,549,( -443079),P KRISHNAMMAL,Marxist Communist Party of India (United)
61,Kerala,Kollam(18),lost,449,( -443179),N JAYARAJAN,Independent
62,Kerala,Kollam(18),,6546,( -437082),NOTA,None of the Above
63,Karnataka,Kolar(28),won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
64,Karnataka,Kolar(28),lost,620093,( -71388),K V GOWTHAM,Indian National Congress
65,Karnataka,Kolar(28),lost,6487,( -684994),SUMAN H N,Independent
66,Karnataka,Kolar(28),lost,6163,( -685318),HOLUR SRINIVASA,Independent
67,Karnataka,Kolar(28),lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
68,Karnataka,Kolar(28),lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
69,Karnataka,Kolar(28),lost,3354,( -688127),DR M. VENKATASWAMY,Independent
70,Karnataka,Kolar(28),lost,2118,( -689363),R RANJITHKUMAR,Independent
71,Karnataka,Kolar(28),lost,1985,( -689496),S N NARAYANASWAMY V,Independent
72,Karnataka,Kolar(28),lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
73,Karnataka,Kolar(28),lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
74,Karnataka,Kolar(28),lost,1116,( -690365),M S BADARINARAYANA,Independent
75,Karnataka,Kolar(28),lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
76,Karnataka,Kolar(28),lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
77,Karnataka,Kolar(28),lost,751,( -690730),R RAJENDRA,Independent
78,Karnataka,Kolar(28),lost,604,( -690877),M MUNIGANGAPPA,Independent
79,Karnataka,Kolar(28),lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
80,Karnataka,Kolar(28),lost,443,( -691038),KRISHNAIAH N,Independent
81,Karnataka,Kolar(28),,5831,( -685650),NOTA,None of the Above
82,Jharkhand,Giridih(6),won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
83,Jharkhand,Giridih(6),lost,370259,( -80880),MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
84,Jharkhand,Giridih(6),lost,347322,( -103817),JAIRAM KUMAR MAHATO,Independent
85,Jharkhand,Giridih(6),lost,14074,( -437065),KAMAL PRASAD,Bahujan Samaj Party
86,Jharkhand,Giridih(6),lost,13106,( -438033),SUBODH KUMAR YADAV,Independent
87,Jharkhand,Giridih(6),lost,11020,( -440119),RAMESHWAR DUSADH,Independent
88,Jharkhand,Giridih(6),lost,10944,( -440195),SUNITA TUDU,Independent
89,Jharkhand,Giridih(6),lost,6939,( -444200),MD AINUL ANSARI,Bahujan Mukti Party
90,Jharkhand,Giridih(6),lost,5627,( -445512),DWARAKA PRASAD LALA,Independent
91,Jharkhand,Giridih(6),lost,5430,( -445709),KALAWATI DEVI,Independent
92,Jharkhand,Giridih(6),lost,5356,( -445783),GYANESHWAR PRASAD,Lokhit Adhikar Party
93,Jharkhand,Giridih(6),lost,4254,( -446885),SHIVJI PRASAD,Right to Recall Party
94,Jharkhand,Giridih(6),lost,3825,( -447314),PRAMOD RAM,Peoples Party of India (Democratic)
95,Jharkhand,Giridih(6),lost,3761,( -447378),USHA SINGH,Independent
96,Jharkhand,Giridih(6),lost,3216,( -447923),PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party
97,Jharkhand,Giridih(6),lost,2517,( -448622),SUBHASH KUMAR THAKUR,Sarv Samaj Party
98,Jharkhand,Giridih(6),,6044,( -445095),NOTA,None of the Above
99,Jammu and Kashmir,BARAMULLA(1),won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
100,Jammu and Kashmir,BARAMULLA(1),lost,268339,( -204142),OMAR ABDULLAH,Jammu & Kashmir National Conference
101,Jammu and Kashmir,BARAMULLA(1),lost,173239,( -299242),SAJAD GANI LONE,Jammu & Kashmir People Conference
102,Jammu and Kashmir,BARAMULLA(1),lost,27488,( -444993),MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party
103,Jammu and Kashmir,BARAMULLA(1),lost,21618,( -450863),SURAIYA NISSAR,Independent
104,Jammu and Kashmir,BARAMULLA(1),lost,15722,( -456759),FIRDOUS AHMAD BHAT,Independent
105,Jammu and Kashmir,BARAMULLA(1),lost,6214,( -466267),SHAFEEQA BEGUM,Independent
106,Jammu and Kashmir,BARAMULLA(1),lost,5566,( -466915),PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim)
107,Jammu and Kashmir,BARAMULLA(1),lost,4268,( -468213),KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party
108,Jammu and Kashmir,BARAMULLA(1),lost,4063,( -468418),MOHAMMAD SULTAN GANAIE,Independent
109,Jammu and Kashmir,BARAMULLA(1),lost,3670,( -468811),SHADIB HANIEF KHAN,Independent
110,Jammu and Kashmir,BARAMULLA(1),lost,3218,( -469263),MUDASIR AHMAD TANTARY,Independent
111,Jammu and Kashmir,BARAMULLA(1),lost,2983,( -469498),NAZIR AHMAD SOFI,Independent
112,Jammu and Kashmir,BARAMULLA(1),lost,2700,( -469781),SHABIR AHMAD DAR,Independent
113,Jammu and Kashmir,BARAMULLA(1),lost,2689,( -469792),HILAL AHMAD WAGAY,Independent
114,Jammu and Kashmir,BARAMULLA(1),lost,2570,( -469911),MEHRAJ UDDIN NAJAR,Independent
115,Jammu and Kashmir,BARAMULLA(1),lost,2417,( -470064),SYED AMEER SUHAIL,Independent
116,Jammu and Kashmir,BARAMULLA(1),lost,2343,( -470138),FAROOQ AHMAD BHAT,National Youth Party
117,Jammu and Kashmir,BARAMULLA(1),lost,2241,( -470240),ARUN KUMAR RAINA,Independent
118,Jammu and Kashmir,BARAMULLA(1),lost,2019,( -470462),MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front
119,Jammu and Kashmir,BARAMULLA(1),lost,1671,( -470810),MUZAFFAR HUSSAIN DAR,Independent
120,Jammu and Kashmir,BARAMULLA(1),lost,1397,( -471084),MUSHTAQ AHMAD MIR,National Loktantrik Party
121,Jammu and Kashmir,BARAMULLA(1),,4984,( -467497),NOTA,None of the Above
122,Himachal Pradesh,SHIMLA(4),won,519748,(+ 91451),Suresh Kumar Kashyap,Bharatiya Janata Party
123,Himachal Pradesh,SHIMLA(4),lost,428297,( -91451),Vinod Sultanpuri,Indian National Congress
124,Himachal Pradesh,SHIMLA(4),lost,6500,( -513248),Anil Kumar Manget,Bahujan Samaj Party
125,Himachal Pradesh,SHIMLA(4),lost,4814,( -514934),Suresh Kumar,Rashtriya Devbhumi Party
126,Himachal Pradesh,SHIMLA(4),lost,4676,( -515072),Madan Lal,Akhil Bhartiya Parivar Party
127,Himachal Pradesh,SHIMLA(4),,5930,( -513818),NOTA,None of the Above
128,Haryana,FARIDABAD(10),won,788569,(+ 172914),KRISHAN PAL,Bharatiya Janata Party
129,Haryana,FARIDABAD(10),lost,615655,( -172914),MAHENDER PRATAP SINGH,Indian National Congress
130,Haryana,FARIDABAD(10),lost,25206,( -763363),KISHAN THAKUR,Bahujan Samaj Party
131,Haryana,FARIDABAD(10),lost,8085,( -780484),SUNIL TEWATIA,Indian National Lok Dal
132,Haryana,FARIDABAD(10),lost,5361,( -783208),NALIN HOODA,Jannayak Janta Party
133,Haryana,FARIDABAD(10),lost,2955,( -785614),SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal
134,Haryana,FARIDABAD(10),lost,2108,( -786461),NEERAJ JATAV,Independent
135,Haryana,FARIDABAD(10),lost,1584,( -786985),HARI SHANKER RAJVANS,Adim Bhartiya Dal
136,Haryana,FARIDABAD(10),lost,1458,( -787111),ATUL,Independent
137,Haryana,FARIDABAD(10),lost,1444,( -787125),PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY
138,Haryana,FARIDABAD(10),lost,1380,( -787189),BRIJABALA,Peoples Party of India (Democratic)
139,Haryana,FARIDABAD(10),lost,1247,( -787322),SHYAM SUNDER SINGH,Bhartiya Shakti Chetna Party
140,Haryana,FARIDABAD(10),lost,1240,( -787329),MAHESH PRATAP SHARMA,Rashtriya Vikas Party
141,Haryana,FARIDABAD(10),lost,955,( -787614),SATAY DEO YADAV,Buland Bharat Party
142,Haryana,FARIDABAD(10),lost,924,( -787645),RANDHEER SINGH ALIAS DHEERU KHATANA,Akhil Bhartiya Kisan Majdoor Party
143,Haryana,FARIDABAD(10),lost,889,( -787680),SUNIL KUMAR,Independent
144,Haryana,FARIDABAD(10),lost,808,( -787761),BHARAT BHUSHAN KOLI,Rashtra Nirman Party
145,Haryana,FARIDABAD(10),lost,771,( -787798),SHIV NARAYAN BABA DUBEY,Kisan Mazdoor Sangharsh Party
146,Haryana,FARIDABAD(10),lost,756,( -787813),GYAN CHAND BAINSLA,Samrat Mihir Bhoj Samaj Party
147,Haryana,FARIDABAD(10),lost,663,( -787906),RAJESH GAUTAM,Independent
148,Haryana,FARIDABAD(10),lost,663,( -787906),SWAMI RAJENDRA DEV JI,Independent
149,Haryana,FARIDABAD(10),lost,615,( -787954),LEKHRAM DABANG,Independent
150,Haryana,FARIDABAD(10),lost,614,( -787955),GIRRAJ,Independent
151,Haryana,FARIDABAD(10),lost,551,( -788018),SHAKILA HUSSAIN,Loktantrik Janshakti Party
152,Haryana,FARIDABAD(10),,6821,( -781748),NOTA,None of the Above
153,Gujarat,Banaskantha(2),won,671883,(+ 30406),GENIBEN NAGAJI THAKOR,Indian National Congress
154,Gujarat,Banaskantha(2),lost,641477,( -30406),DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party
155,Gujarat,Banaskantha(2),lost,9929,( -661954),MANSUNGBHAI MASHRUBHAI PARMAR,Bahujan Samaj Party
156,Gujarat,Banaskantha(2),lost,7696,( -664187),RATHOD MAVJI BHEMAJI,Independent
157,Gujarat,Banaskantha(2),lost,5481,( -666402),SHRIMALI ASHOKBHAI BALCHANDBHAI,Independent
158,Gujarat,Banaskantha(2),lost,4626,( -667257),JASUBHAI GAMAR,Bharat Adivasi Party
159,Gujarat,Banaskantha(2),lost,3513,( -668370),PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party
160,Gujarat,Banaskantha(2),lost,3009,( -668874),BAJAG LASHABHAI LAVAJIBHAI,Independent
161,Gujarat,Banaskantha(2),lost,1823,( -670060),PRAVINBHAI ISHVARBHAI CHAUHAN,Swatantrata Abhivyakti Party
162,Gujarat,Banaskantha(2),lost,1591,( -670292),IBRAHIMBHAI PARASANI,Independent
163,Gujarat,Banaskantha(2),lost,1374,( -670509),PARMAR CHHAGANCHANDRARAJ,Independent
164,Gujarat,Banaskantha(2),lost,1334,( -670549),CHETANKUMAR KESHAVLAL OZA,Independent
165,Gujarat,Banaskantha(2),,22167,( -649716),NOTA,None of the Above
166,Goa,South Goa(2),won,217836,(+ 13535),CAPTAIN  VIRIATO FERNANDES,Indian National Congress
167,Goa,South Goa(2),lost,204301,( -13535),PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party
168,Goa,South Goa(2),lost,18885,( -198951),RUBERT PEREIRA,Revolutionary Goans Party
169,Goa,South Goa(2),lost,1581,( -216255),DR SWETA GAONKAR,Bahujan Samaj Party
170,Goa,South Goa(2),lost,1317,( -216519),DEEPKUMAR D MAPARI,Independent
171,Goa,South Goa(2),lost,720,( -217116),DR KALIDAS VAINGANKAR,Independent
172,Goa,South Goa(2),lost,542,( -217294),ALEXY FERNANDES,Independent
173,Goa,South Goa(2),lost,501,( -217335),HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party
174,Goa,South Goa(2),,4837,( -212999),NOTA,None of the Above
175,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),won,42523,(+ 6225),PATEL UMESHBHAI BABUBHAI,Independent
176,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,36298,( -6225),LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
177,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,11258,( -31265),KETAN DAHYABHAI PATEL,Indian National Congress
178,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,545,( -41978),UMESH PATEL,Navsarjan Bharat Party
179,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,323,( -42200),SAKIL LATIF KHAN,Independent
180,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,247,( -42276),IDRISH G MULLA,Independent
181,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,238,( -42285),PATEL UMESHBHAI BABU,Independent
182,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),,978,( -41545),NOTA,None of the Above
183,Chhattisgarh,KORBA(4),won,570182,(+ 43283),JYOTSNA CHARANDAS MAHANT,Indian National Congress
184,Chhattisgarh,KORBA(4),lost,526899,( -43283),SAROJ PANDEY,Bharatiya Janata Party
185,Chhattisgarh,KORBA(4),lost,48587,( -521595),SHYAM SINGH MARKAM,Gondvana Gantantra Party
186,Chhattisgarh,KORBA(4),lost,11268,( -558914),NIRDOSH  KUMAR YADAV,Independent
187,Chhattisgarh,KORBA(4),lost,10739,( -559443),DUJRAM BOUDDH,Bahujan Samaj Party
188,Chhattisgarh,KORBA(4),lost,6182,( -564000),JAICHANDRA SONPAKAR,Independent
189,Chhattisgarh,KORBA(4),lost,5709,( -564473),PALAN SINGH,Independent
190,Chhattisgarh,KORBA(4),lost,4988,( -565194),KAMAL DEV,Bhartiya Shakti Chetna Party
191,Chhattisgarh,KORBA(4),lost,3902,( -566280),DILIP MIRI,Independent
192,Chhattisgarh,KORBA(4),lost,3632,( -566550),KAUSHALYA BAI PORTE,Independent
193,Chhattisgarh,KORBA(4),lost,2504,( -567678),PRATAP BHANU,Independent
194,Chhattisgarh,KORBA(4),lost,2477,( -567705),SANTOSH SHARMA,Independent
195,Chhattisgarh,KORBA(4),lost,2232,( -567950),AMRIKA KARPE,Independent
196,Chhattisgarh,KORBA(4),lost,2202,( -567980),RAJGURU KEWAL GOSWAMI,Independent
197,Chhattisgarh,KORBA(4),lost,2073,( -568109),SHOBRAN SINGH SAIMA,Independent
198,Chhattisgarh,KORBA(4),lost,1964,( -568218),KALYAN SINGH TANWAR,Independent
199,Chhattisgarh,KORBA(4),lost,1814,( -568368),RAJESH PANDEY,Independent
200,Chhattisgarh,KORBA(4),lost,1685,( -568497),SUSHIL KUMAR VISHWAKARMA,Bhartiya Janta Secular Party
201,Chhattisgarh,KORBA(4),lost,1392,( -568790),PRASHANT DANIEL,Sarv Adi Dal
202,Chhattisgarh,KORBA(4),lost,1294,( -568888),REKHA TIWARI,Chhattisgarh Vikas Ganga Rashtriya Party
203,Chhattisgarh,KORBA(4),lost,1212,( -568970),PURUSHOTTAM MANIKPURI,Independent
204,Chhattisgarh,KORBA(4),lost,1204,( -568978),PRIYANKA PATEL,Republican Party of India (A)
205,Chhattisgarh,KORBA(4),lost,1187,( -568995),MAHENDRA KUMAR SHRIWAS (MANJU),Independent
206,Chhattisgarh,KORBA(4),lost,1168,( -569014),SHEKH RAUF,Independent
207,Chhattisgarh,KORBA(4),lost,1036,( -569146),SHIVPUJAN SINGH,Independent
208,Chhattisgarh,KORBA(4),lost,861,( -569321),SHANTI BAI MARAVI,Independent
209,Chhattisgarh,KORBA(4),lost,823,( -569359),RAMESH DAS MAHANT,Independent
210,Chhattisgarh,KORBA(4),,6097,( -564085),NOTA,None of the Above
211,West Bengal,Maldaha Dakshin(8),won,572395,(+ 128368),ISHA KHAN CHOUDHURY,Indian National Congress
212,West Bengal,Maldaha Dakshin(8),lost,444027,( -128368),SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party
213,West Bengal,Maldaha Dakshin(8),lost,301026,( -271369),SHAHNAWAZ ALI RAIHAN,All India Trinamool Congress
214,West Bengal,Maldaha Dakshin(8),lost,8383,( -564012),PURNOCHANDRA MANDAL,Independent
215,West Bengal,Maldaha Dakshin(8),lost,5736,( -566659),AHMED HEDATUL HASAN,Independent
216,West Bengal,Maldaha Dakshin(8),lost,5386,( -567009),MD. JAMAL SAIKH,Independent
217,West Bengal,Maldaha Dakshin(8),lost,5065,( -567330),BIKASH RABIDAS,Bahujan Samaj Party
218,West Bengal,Maldaha Dakshin(8),lost,4776,( -567619),BIJOY KUMAR SARKAR,Independent
219,West Bengal,Maldaha Dakshin(8),lost,3535,( -568860),SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party
220,West Bengal,Maldaha Dakshin(8),lost,3271,( -569124),AMAL KUMAR RABIDAS,Independent
221,West Bengal,Maldaha Dakshin(8),lost,3140,( -569255),KAVIR MADAN DAS,Ambedkarite Party of India
222,West Bengal,Maldaha Dakshin(8),lost,2788,( -569607),ASIM MANDAL,Jan Sangh Party
223,West Bengal,Maldaha Dakshin(8),lost,2323,( -570072),MD SHAHNAWAJ RAHMATULLAH,Social Democratic Party Of India
224,West Bengal,Maldaha Dakshin(8),lost,2075,( -570320),JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party
225,West Bengal,Maldaha Dakshin(8),lost,1189,( -571206),ANGSHUDHAR MANDAL,Socialist Unity Centre Of India (COMMUNIST)
226,West Bengal,Maldaha Dakshin(8),lost,1136,( -571259),MD NUR ISLAM SEKH,Rashtriya Secular Majlis Party
227,West Bengal,Maldaha Dakshin(8),lost,741,( -571654),MD MONIRUL HASAN,Jamat-E-Seratul Mustakim
228,West Bengal,Maldaha Dakshin(8),,2797,( -569598),NOTA,None of the Above
229,Haryana,GURGAON(9),won,808336,(+ 75079),RAO INDERJIT SINGH,Bharatiya Janata Party
230,Haryana,GURGAON(9),lost,733257,( -75079),RAJ BABBAR,Indian National Congress
231,Haryana,GURGAON(9),lost,13278,( -795058),RAHUL YADAV FAZILPURIA,Jannayak Janta Party
232,Haryana,GURGAON(9),lost,8946,( -799390),VIJAY KHATANA,Bahujan Samaj Party
233,Haryana,GURGAON(9),lost,4917,( -803419),SORAB KHAN,Indian National Lok Dal
234,Haryana,GURGAON(9),lost,3528,( -804808),AJAY KUMAR,Independent
235,Haryana,GURGAON(9),lost,3005,( -805331),ASHOK JANGRA,Independent
236,Haryana,GURGAON(9),lost,2745,( -805591),AZAD SINGH,Independent
237,Haryana,GURGAON(9),lost,2550,( -805786),AKSHAT GAIT,Independent
238,Haryana,GURGAON(9),lost,2222,( -806114),LAL CHAND YADAV,Bharatheeya Jawan Kisan Party
239,Haryana,GURGAON(9),lost,1887,( -806449),SAMAY SINGH,Independent
240,Haryana,GURGAON(9),lost,1408,( -806928),DHARMENDER THAKRAN,Swayam Shashan Party
241,Haryana,GURGAON(9),lost,1120,( -807216),VIJAY YADAV,Jan Sewak Kranti Party
242,Haryana,GURGAON(9),lost,1114,( -807222),ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic)
243,Haryana,GURGAON(9),lost,1074,( -807262),COMRADE SARWAN KUMAR GUPTA,Socialist Unity Centre Of India (COMMUNIST)
244,Haryana,GURGAON(9),lost,1000,( -807336),VANDNA GULIYA,Right to Recall Party
245,Haryana,GURGAON(9),lost,915,( -807421),SAMPOORN ANAND,Rashtriya Lokswaraj Party
246,Haryana,GURGAON(9),lost,794,( -807542),KUSHESHWAR  BHAGAT,Independent
247,Haryana,GURGAON(9),lost,791,( -807545),SINGH RAM,Independent
248,Haryana,GURGAON(9),lost,578,( -807758),ANWAR,Social Democratic Party Of India
249,Haryana,GURGAON(9),lost,474,( -807862),FAUJI JAI KAWAR TYAGI (DIXIT),Independent
250,Haryana,GURGAON(9),lost,439,( -807897),AKASH VYAS,Bhartiya Shakti Chetna Party
251,Haryana,GURGAON(9),lost,437,( -807899),VISHNU,Independent
252,Haryana,GURGAON(9),,6417,( -801919),NOTA,None of the Above
253,Haryana,BHIWANI-MAHENDRAGARH(8),won,588664,(+ 41510),DHARAMBIR SINGH,Bharatiya Janata Party
254,Haryana,BHIWANI-MAHENDRAGARH(8),lost,547154,( -41510),RAO DAN SINGH,Indian National Congress
255,Haryana,BHIWANI-MAHENDRAGARH(8),lost,15265,( -573399),BAHADUR SINGH,Jannayak Janta Party
256,Haryana,BHIWANI-MAHENDRAGARH(8),lost,6336,( -582328),SUNIL KUMAR SHARMA,Bahujan Samaj Party
257,Haryana,BHIWANI-MAHENDRAGARH(8),lost,4695,( -583969),SUBHASH,Rashtrawadi Janlok Party (Satya)
258,Haryana,BHIWANI-MAHENDRAGARH(8),lost,3881,( -584783),HEMANT,Independent
259,Haryana,BHIWANI-MAHENDRAGARH(8),lost,2979,( -585685),SEEMA,Independent
260,Haryana,BHIWANI-MAHENDRAGARH(8),lost,1900,( -586764),VED PRAKASH,Independent
261,Haryana,BHIWANI-MAHENDRAGARH(8),lost,1668,( -586996),ANAND KUMAR,Bharatheeya Jawan Kisan Party
262,Haryana,BHIWANI-MAHENDRAGARH(8),lost,1478,( -587186),YOGBIR SINGH,Independent
263,Haryana,BHIWANI-MAHENDRAGARH(8),lost,1053,( -587611),VARSHA,Independent
264,Haryana,BHIWANI-MAHENDRAGARH(8),lost,857,( -587807),BALWAN,Peoples Party of India (Democratic)
265,Haryana,BHIWANI-MAHENDRAGARH(8),lost,640,( -588024),ROHTASH,Socialist Unity Centre Of India (COMMUNIST)
266,Haryana,BHIWANI-MAHENDRAGARH(8),lost,451,( -588213),JAI SINGH,Independent
267,Haryana,BHIWANI-MAHENDRAGARH(8),lost,443,( -588221),BHARAT BHUSHAN,Bhartiya Shakti Chetna Party
268,Haryana,BHIWANI-MAHENDRAGARH(8),lost,415,( -588249),ENGINEER MAHAVIR SINGH YADAV,Independent
